rank,change,ship,fandom,works,gender,genderA,genderB,raceA,raceB
41,-2,Hinata Shouyou/Kageyama Tobio,Haikyuu!!,17813,M/M,M,M,Asian,Asian
42,7,"Evan ""Buck"" Buckley/Eddie Diaz",9/1/01,17540,M/M,M,M,White,Latino
43,-2,Levi Ackerman/Eren Yeager,Attack on Titan,17017,M/M,M,M,White,White
44,-9,Blaine Anderson/Kurt Hummel,Glee,16891,M/M,M,M,Asian,White
45,-2,J-Hope/Suga,BTS,16614,M/M,M,M,Asian,Asian
46,-6,Dan Howell/Phil Lester,YouTube RPF,16511,M/M,M,M,White,White
47,5,James T. Kirk/Spock,Star Trek: Alternate Original Series,16286,M/M,M,M,White,White
48,-6,Erik Lehnsherr/Charles Xavier,X-Men,16193,M/M,M,M,White,White
49,-1,Akaashi Keiji/Bokuto Koutarou,Haikyuu!!,15936,M/M,M,M,Asian,Asian
50,14,Bakugou Katsuki & Midoriya Izuku,My Hero Academia,15709,M/M,M,M,Asian,Asian
51,6,Harry Potter/Ginny Weasley,Harry Potter,15635,F/M,M,F,White,White
52,3,Harry Potter/Severus Snape,Harry Potter,15340,M/M,M,M,White,White
53,1,Ian Gallagher/Mickey Milkovich,Shameless,15154,M/M,M,M,White,White
54,-4,Eddie Kaspbrak/Richie Tozier,IT,14803,M/M,M,M,White,White
55,-10,Keith/Shiro,Voltron: Legendary Defender,14793,M/M,M,M,Ambiguous,Asian
56,-5,Regina Mills/Emma Swan,Once Upon a Time,14632,F/F,F,F,Latino,White
57,9,Tubbo & TommyInnit,YouTube RPF,14609,M/M,M,M,White,White
58,-11,Armitage Hux/Kylo Ren,Star Wars Sequel Trilogy,14292,M/M,M,M,White,White
59,-6,Bellamy Blake/Clarke Griffin,The 100,14079,F/M,M,F,Asian,White
60,0,V/Park Jimin,BTS,13885,M/M,M,M,Asian,Asian
61,0,"James ""Bucky"" Barnes/Reader",Marvel Cinematic Universe,13815,M/N,M,N,White,Ambiguous
62,3,Dean Winchester & Sam Winchester,Supernatural,13771,M/M,M,M,White,White
63,New,Blackbeard/Stede Bonnet,Our Flag Means Death,13595,M/M,M,M,Indigenous,White
64,-6,Jensen Ackles/Jared Padalecki,Supernatural RPF,13570,M/M,M,M,White,White
65,-9,Loki/Thor,Thor,13563,M/M,M,M,White,White
66,-7,Gabriel/Sam Winchester,Supernatural,13412,M/M,M,M,White,White
67,-4,Jungkook/Suga,BTS,13388,M/M,M,M,Asian,Asian
68,1,Fox Mulder/Dana Scully,The X-Files,13204,F/M,M,F,White,White
69,9,Uchiha Sasuke/Uzumaki Naruto,Naruto,13062,M/M,M,M,Asian,Asian
70,-8,Rodney McKay/John Sheppard,Stargate Atlantis,13004,M/M,M,M,White,White
71,2,Aziraphale & Crowley,Good Omens,12790,N/N,N,N,White,White
72,22,Tartaglia/Zhongli,Genshin Impact,12678,M/M,M,M,White,Asian
73,-6,Clarke Griffin/Lexa,The 100,12568,F/F,F,F,White,White
74,15,Technoblade & TommyInnit,YouTube RPF,12452,M/M,M,M,White,White
75,10,Levi Ackerman/Erwin Smith,Attack on Titan,11980,M/M,M,M,White,White
76,-5,Mycroft Holmes/Greg Lestrade,Sherlock,11919,M/M,M,M,White,White
77,-2,Jack Harkness/Ianto Jones,Torchwood,11916,M/M,M,M,White,White
78,5,Frank Iero/Gerard Way,My Chemical Romance,11872,M/M,M,M,White,White
79,New,Han/Lee Know,Stray Kids,11772,M/M,M,M,Asian,Asian
80,-4,Loki/Tony Stark,The Avengers,11642,M/M,M,M,White,White
81,-9,Enjolras/Grantaire,Les Misérables,11462,M/M,M,M,White,White
82,-8,"James ""Bucky"" Barnes & Steve Rogers",Marvel Cinematic Universe,11294,M/M,M,M,White,White
83,-3,Castiel & Dean Winchester,Supernatural,11278,M/M,M,M,White,White
84,7,Miya Atsumu/Sakusa Kiyoomi,Haikyuu!!,11253,M/M,M,M,Asian,Asian
85,-15,"Steve McGarrett/Danny ""Danno"" Williams",Hawaii Five-0,11249,M/M,M,M,White,White
86,New,Eraserhead & Midoriya Izuku,My Hero Academia,11220,M/M,M,M,Asian,Asian
87,-19,Clint Barton/Natasha Romanov,The Avengers,11165,F/M,M,F,White,White
88,0,Annabeth Chase/Percy Jackson,Percy Jackson and the Olympians,11151,F/M,F,M,White,White
89,-12,Oliver Queen/Felicity Smoak,Arrow,11055,F/M,F,M,White,White
90,-8,Bilbo Baggins/Thorin Oakenshield,The Hobbit,10997,M/M,M,M,White,White
91,-10,Clint Barton/Phil Coulson,The Avengers,10899,M/M,M,M,White,White
92,-2,Harry Potter/Voldemort,Harry Potter,10889,M/M,M,M,White,White
93,-14,Captain Hook/Emma Swan,Once Upon a Time,10883,F/M,M,F,White,White
94,6,Bakugou Katsuki/Todoroki Shouto,My Hero Academia,10774,M/M,M,M,Asian,Asian
95,New,Amity Blight/Luz Noceda,The Owl House,10722,F/F,F,F,White,Black
96,-10,Adora/Catra,She-Ra and the Princesses of Power,10525,F/F,F,F,White,Latino
97,-13,Tenth Doctor/Rose Tyler,Doctor Who,10493,F/M,M,F,White,White
98,New,Dabi/Takami Keigo,My Hero Academia,10449,M/M,M,M,Asian,Asian
99,-12,Kozume Kenma/Kuroo Tetsurou,Haikyuu!!,10405,M/M,M,M,Asian,Asian
100,New,Ranboo & Tubbo,YouTube RPF,10303,M/M,M,M,White,White
