fandom,relationship,taggedRel,title,relType,isCanon,isRPF,datetime,kudos,rating,warnings,tags
Empires SMP,Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,And the gods watched (when Winter comes),M/M,Yes,Yes,16 Nov 2021,152,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Eternal Winter,from the perspective of the gods,and some of the emperors too,but mostly of the gods,they're the focus here,the universe doesn't like Jimmy,the universe also believes in herald of death jimmy,Coma,Abuse of Authority,because these gods are like that,god-induced coma,this one's surprisingly hard to tag,empires smp s1"
Minecraft (Video Game),Jimmy | Solidarity/Scott | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,In the Blue Hours of Morning,M/M,Yes,Yes,02 Oct 2021,152,General Audiences,No Archive Warnings Apply,"jimmy is a himbo,scott is a housewife,Flower Husbands,Fluff,Slice of Life,flowery language,Imagery,Self-Indulgent,Title from an Oh Hellos Song"
Empires SMP,Jimmy | Solidarity/Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,to lose my wings / to drown in your embrace,M/M,Yes,Yes,02 Apr 2024,151,Teen And Up Audiences,No Archive Warnings Apply,"Canary Hybrid Jimmy | Solidarity,Cod Hybrid Jimmy | Solidarity,its complicated,you'll understand once you read,Elf Culture & Customs,Elf Scott Major | Smajor1995,Winged Scott Major | Smajor1995,Jimmy | Solidarity and Lizzie | LDShadowLady are Siblings,Charles | Grian and Jimmy | Solidarity and Pearl | PearlescentMoon are Siblings,complicated family dynamics,Jimmy | Solidarity Has Self-Esteem Issues,Fluff,Past Lives,Empires SMP Season 1,Political Alliances,Drowning,not really but kind of,Trust exercises,Gold Jewellery,No Character Death,no one dies,this is happy and sappy and full of Feelings,Touch-Starved Character,guess who! cuz it could be either in canon,Emotional Hurt/Comfort"
3rd Life | Last Life SMP Series,Jimmy | Solidarity/Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,Conference and Curses,M/M,Yes,Yes,11 Feb 2024,151,General Audiences,Major Character Death,"Not RPF,Angst,Death,Limited Life - Freeform,Limited Life SMP - Freeform,3rd life,3rd Life SMP - Freeform,Last Life - Freeform,last life smp - Freeform,Double Life,Double Life SMP - Freeform,Life Series - Freeform,Watchers,longfic,Flower Husbands,Canary Curse,Canary Jimmy | Solidarity,Mean Gills,Clockers,Team TIES,The Bad Boys,Watcher Charles | Grian,Drowning,Fighting,Violence,Love,Coral Isles,She/Her and They/Them Pronouns for ZombieCleo (Video Blogging RPF)"
3rd Life | Last Life SMP Series,Jimmy | Solidarity/TangoTek,Jimmy | Solidarity/Scott Major | Smajor1995,A helping hand,M/M,Yes,Yes,07 Jul 2023,151,General Audiences,Creator Chose Not To Use Archive Warnings,"Tooth-Rotting Fluff,Kissing,Boys Kissing,Blaze Hybrid TangoTek (Video Blogging RPF),Event: Empires SMP x Hermitcraft Rift 2022,Wing Grooming,Other Additional Tags to Be Added,Canary Jimmy | Solidarity,Elf Scott | Smajor1995 | Dangthatsalongname"
3rd Life | Last Life SMP Series,Jimmy | Solidarity/Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,You Can Fly Away With Me Tonight,M/M,Yes,Yes,16 Jun 2023,151,Teen And Up Audiences,No Archive Warnings Apply,"Treesekai AU,this is actually not an isekai bc martyn is completely irrelevant,background character focused,Meet-Cute,Alcohol,Partying,background rendog/bdoubleo100,&lt;- they are announcing their engagement,Drunken Flirting,scott major | smajor1995 flirts,(the guy from it got a tag for that so im taking inspiration),Fanfiction of Fanfiction"
Minecraft (Video Game),Jimmy | Solidarity/Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,I've Been With You Such A Long Time,M/M,Yes,Yes,27 Mar 2023,151,General Audiences,No Archive Warnings Apply,"5+1 Things,Elf Scott | Smajor1995 | Dangthatsalongname,Canary Jimmy | Solidarity,Friends to Lovers,Childhood Friends,Trans Male Character,Crush at First Sight,Scott REALLY likes Jimmys wings idk what to tell u,Dancing,i love when these boys dance together it makes my heart flutter,Bittersweet Ending,Fluff,Falling In Love,Fluff and Angst"
3rd Life | Last Life SMP Series,Jimmy | Solidarity/Scott Major | Smajor1995,Jimmy | Solidarity/Scott Major | Smajor1995,"if we've got each other, we'll both be fine",M/M,Yes,Yes,07 Mar 2023,151,Teen And Up Audiences,Major Character Death,"Canonical Character Death,Flower Husbands,Love,Scott and Jimmy confuse Grian,Grian doesn't understand emotions,this annoys him,marriage in death game? does not compute"
Hermitcraft RPF,Charles | Grian/Xisumavoid,Jimmy | Solidarity/Scott Major | Smajor1995,Hermitcraft Oneshots Because Yes,M/M,Yes,Yes,06 May 2022,151,General Audiences,Creator Chose Not To Use Archive Warnings,
Empires SMP,Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,Heart of Snow and Gold,M/M,Yes,Yes,14 Nov 2021,151,Mature,Creator Chose Not To Use Archive Warnings,"Making Out,Kissing,Boys Kissing,Fluff and Angst,Ambiguous/Open Ending,How do tags work......,No Smut,not beta read we die like Jimmy did to Scott’s potions,Character Death,its not too major but it’s definitely implied,Murder,Demonic Possession,technically possession but it can be whatever you want"
3rd Life | Last Life SMP Series,Jimmy | Solidarity/Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,"incidentally, here's how the world crumbles",M/M,Yes,Yes,10 Aug 2021,151,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,"Angst and Tragedy,there's no happy ending,Hanahaki Disease,Immortality,Alternate Universe - 3rd Life SMP Setting (Video Blogging RPF),empires smp - Freeform,Scott | Smajor1995 | Dangthatsalongname - centric,light body horror,Grief/Mourning,Temporary Character Death"
Minecraft (Video Game),Charles | Grian & Scott | Smajor1995 | Dangthatsalongname,Jimmy | Solidarity/Scott Major | Smajor1995,Red Tulips,M/M,Yes,Yes,05 Jun 2021,151,General Audiences,No Archive Warnings Apply,"Angst,Grief/Mourning,Hurt/Comfort,Friendship,Alliances,third life,Post Battle of the Red Desert,One Shot"
