value,count
SO MUCH FLUFF,31
Mild Angst,31
Complicated Relationships,31
Porn,31
Sexual Slavery,31
Ghosts,31
Trans Male Character,31
Twins,31
Boys In Love,31
zerrie,31
Azkaban,31
Alternate Universe - Dark,31
Married Joel | SmallishBeans/Lizzie | LDShadowLady,31
Winged Charles | Grian,31
Bellarke,30
Alternate Universe - Arranged Marriage,30
Mild Smut,30
Foster Care,30
Loneliness,30
Sex Work,30
Implied/Referenced Sexual Assault,30
Families of Choice,30
Truth or Dare,30
Cuddling,30
Vomiting,30
Sam Wilson Is a Good Bro,30
Trust Issues,30
Threats of Violence,30
Alternate Universe - Gender Changes,30
Platonic Soulmates,30
Family Dynamics,30
Female Ejaculation,30
Blood Drinking,30
Post-Spider-Man: Homecoming,30
Valentine's Day,30
Out of Character,30
Trans Character,30
Misogyny,30
69 (Sex Position),30
Forced Proximity,30
Adventure,30
Oblivious Hermione Granger,30
Obsessive Behavior,30
Professor Hermione Granger,30
Time Turner (Harry Potter),30
Jealous Draco Malfoy,30
Gay Sirius Black,30
Kylo Ren is Not Nice,30
Holidays,29
Casual Sex,29
Sleepy Cuddles,29
Drug Addiction,29
Sugar Daddy,29
Denial,29
Epistolary,29
Insecurity,29
Consensual Non-Consent,29
A/B/O,29
Dragons,29
Dominance,29
Mpreg Harry,29
The Noble and Most Ancient House of Black,29
Charles | Grian and Jimmy | Solidarity are Siblings,29
Alternate Universe - Roommates/Housemates,28
Mild Language,28
Anxiety Disorder,28
Eventual Relationships,28
First Love,28
alternative universe,28
Modern Era,28
Sexual Humor,28
Artist Steve Rogers,28
Disabled Character,28
Implied/Referenced Drug Use,28
Crossover Pairings,28
Fights,28
Suspense,28
Alternate Universe - Medieval,28
Wedding,28
Outdoor Sex,28
Bisexual Peter Parker,28
ziam,28
Famous Harry,28
Teen Romance,28
Letters,28
Not Harry Potter and the Cursed Child Compliant,28
Mild Blood,28
Young Severus Snape,28
Harry Potter is Not the Boy-Who-Lived,28
Charles | Grian Needs a Hug,28
Canary Jimmy | Solidarity,28
Submissive Rey (Star Wars),28
Single Parents,27
Alternate Universe - Magic,27
Rituals,27
Implied/Referenced Domestic Violence,27
Matchmaking,27
Mistletoe,27
Teen Pregnancy,27
Possessive Sex,27
Steve Rogers Needs a Hug,27
Alternate Universe - Modern: No Powers,27
The Author Regrets Everything,27
Lies,27
Anal,27
Stockholm Syndrome,27
Childbirth,27
Master/Pet,27
Oneshot,27
Gryffindor/Slytherin Inter-House Relationships,27
Cuckolding,27
Good Narcissa Black Malfoy,27
Oblivious Harry Potter,27
Bigotry & Prejudice,27
Slytherins Being Slytherins,27
Good Tom Riddle,27
Sane Voldemort (Harry Potter),27
James Potter Bashing,27
Kylo Ren Has Issues,27
Angry Sex,26
Nesting,26
Getting Back Together,26
Implied/Referenced Abuse,26
Past Torture,26
Everyone Has Issues,26
Deaf Character,26
Period-Typical Homophobia,26
Post-Avengers: Endgame (Movie),26
Collars,26
Self Harm,26
Teenagers,26
Verbal Abuse,26
Happily Ever After,26
Music,26
Sweet,26
It Gets Worse Before It Gets Better,26
Emotional Baggage,26
Abusive Relationships,26
Implied/Referenced Homophobia,26
Mating,26
Mirror Sex,26
Jealous Harry,26
Missionary Position,26
Angst and Romance,26
Professor Harry Potter,26
Death Eater Draco Malfoy,26
Adult Draco Malfoy,26
Battle of Hogwarts,26
Werewolf Mates,26
Good Lucius Malfoy,26
Number Twelve Grimmauld Place,26
Kingdom of Mezalea on Empires SMP Setting (Video Blogging RPF),26
Alternate Universe - Hollywood,25
Fake Marriage,25
bed sharing,25
Alternate Universe - Regency,25
Cats,25
Canon Universe,25
College,25
Boss/Employee Relationship,25
Rating May Change,25
Mythical Beings & Creatures,25
Alternate Universe - Vampire,25
Wedding Fluff,25
Injury Recovery,25
New York City,25
Canon Rewrite,25
Tropes,25
