year,ship,partnerA,partnerAID,partnerAGender,partnerB,partnerBID,partnerBGender,fandom,Genre,collapsedFandom,totalWorks,relType
2024,"James ""Bucky"" Barnes/Brock Rumlow","James ""Bucky"" Barnes",17,M,Brock Rumlow,4,M,Marvel Cinematic Universe,Superhero,Marvel,1458,MM
2024,"James ""Bucky"" Barnes/Clint Barton","James ""Bucky"" Barnes",17,M,Clint Barton,7,M,Marvel Cinematic Universe,Superhero,Marvel,4904,MM
2024,"James ""Bucky"" Barnes/Darcy Lewis","James ""Bucky"" Barnes",17,M,Darcy Lewis,9,F,Marvel Cinematic Universe,Superhero,Marvel,2575,FM
2024,"James ""Bucky"" Barnes/Helmut Zemo","James ""Bucky"" Barnes",17,M,Helmut Zemo,15,M,Marvel Cinematic Universe,Superhero,Marvel,1655,MM
2024,"James ""Bucky"" Barnes/Natasha Romanov","James ""Bucky"" Barnes",17,M,Natasha Romanov,32,F,Marvel Cinematic Universe,Superhero,Marvel,5427,FM
2024,"James ""Bucky"" Barnes/Peter Parker","James ""Bucky"" Barnes",17,M,Peter Parker,35,M,Marvel Cinematic Universe,Superhero,Marvel,1095,MM
2024,"James ""Bucky"" Barnes/Sam Wilson","James ""Bucky"" Barnes",17,M,Sam Wilson,38,M,Marvel Cinematic Universe,Superhero,Marvel,9648,MM
2024,"James ""Bucky"" Barnes/Steve Rogers","James ""Bucky"" Barnes",17,M,Steve Rogers,42,M,Captain America,Superhero,Marvel,58748,MM
2024,"James ""Bucky"" Barnes/Tony Stark","James ""Bucky"" Barnes",17,M,Tony Stark,45,M,Marvel Cinematic Universe,Superhero,Marvel,9649,MM
2024,"James ""Rhodey"" Rhodes/Tony Stark","James ""Rhodey"" Rhodes",18,M,Tony Stark,45,M,Marvel Cinematic Universe,Superhero,Marvel,1732,MM
2024,Jane Foster/Thor,Jane Foster,19,F,Thor,44,M,The Avengers (Marvel Movies),Superhero,Marvel,5457,FM
2024,Jemma Simmons/Daisy Johnson,Jemma Simmons,20,F,Daisy Johnson,40,F,Agents of S.H.I.E.L.D. (TV),Superhero,Marvel,1773,FF
2024,Lance Hunter/Bobbi Morse,Lance Hunter,23,M,Bobbi Morse,3,F,Marvel Cinematic Universe,Superhero,Marvel,1293,FM
2024,Leo Fitz/Jemma Simmons,Leo Fitz,25,M,Jemma Simmons,20,F,Agents of S.H.I.E.L.D. (TV),Superhero,Marvel,7604,FM
2024,Maria Hill/Natasha Romanov,Maria Hill,26,F,Natasha Romanov,32,F,Marvel Cinematic Universe,Superhero,Marvel,2315,FF
2024,Michelle Jones/Peter Parker,Michelle Jones,30,F,Peter Parker,35,M,Marvel Cinematic Universe,Superhero,Marvel,7393,FM
2024,Miles Morales/Gwen Stacy,Miles Morales,31,M,Gwen Stacy,12,F,Spider-Man,Superhero,Marvel,1022,FM
2024,Natasha Romanov/Tony Stark,Natasha Romanov,32,F,Tony Stark,45,M,Marvel Cinematic Universe,Superhero,Marvel,1124,FM
2024,Peggy Carter/Angie Martinelli,Peggy Carter,33,F,Angie Martinelli,1,F,Captain America,Superhero,Marvel,2255,FF
2024,Peggy Carter/Daniel Sousa,Peggy Carter,33,F,Daniel Sousa,8,M,Captain America,Superhero,Marvel,1486,FM
2024,Peggy Carter/Steve Rogers,Peggy Carter,33,F,Steve Rogers,42,M,Captain America,Superhero,Marvel,6290,FM
2024,Pepper Potts/Natasha Romanov,Pepper Potts,34,F,Natasha Romanov,32,F,Marvel Cinematic Universe,Superhero,Marvel,1273,FF
2024,Pepper Potts/Tony Stark,Pepper Potts,34,F,Tony Stark,45,M,Marvel Cinematic Universe,Superhero,Marvel,21489,FM
2024,Peter Parker/Gwen Stacy,Peter Parker,35,M,Gwen Stacy,12,F,Marvel Cinematic Universe,Superhero,Marvel,1492,FM
2024,Peter Parker/Johnny Storm,Peter Parker,35,M,Johnny Storm,21,M,Marvel Cinematic Universe,Superhero,Marvel,1200,MM
2024,Peter Parker/Mary Jane Watson,Peter Parker,35,M,Mary Jane Watson,28,F,Marvel Cinematic Universe,Superhero,Marvel,1701,FM
2024,Peter Parker/Tony Stark,Peter Parker,35,M,Tony Stark,45,M,Marvel Cinematic Universe,Superhero,Marvel,8713,MM
2024,Peter Parker/Wade Wilson,Peter Parker,35,M,Wade Wilson,47,M,Spider-Man - All Media Types,Superhero,Marvel,9430,MM
2024,Phil Coulson/Melinda May,Phil Coulson,37,M,Melinda May,29,F,Agents of S.H.I.E.L.D. (TV),Superhero,Marvel,3504,FM
2024,Phil Coulson/Daisy Johnson,Phil Coulson,37,M,Daisy Johnson,40,F,Agents of S.H.I.E.L.D. (TV),Superhero,Marvel,1666,FM
2024,Sharon Carter/Steve Rogers,Sharon Carter,39,F,Steve Rogers,42,M,Agents of S.H.I.E.L.D. (TV),Superhero,Marvel,1211,FM
2024,Daisy Johnson/Grant Ward,Daisy Johnson,40,F,Grant Ward,11,M,Agents of S.H.I.E.L.D. (TV),Superhero,Marvel,2677,FM
2024,Steve Rogers/Natasha Romanov,Steve Rogers,42,M,Natasha Romanov,32,F,The Avengers (Marvel Movies),Superhero,Marvel,5996,FM
2024,Steve Rogers/Sam Wilson,Steve Rogers,42,M,Sam Wilson,38,M,Captain America,Superhero,Marvel,3102,MM
2024,Steve Rogers/Thor,Steve Rogers,42,M,Thor,44,M,Marvel Cinematic Universe,Superhero,Marvel,1386,MM
2024,Steve Rogers/Tony Stark,Steve Rogers,42,M,Tony Stark,45,M,The Avengers (Marvel Movies),Superhero,Marvel,42767,MM
2024,Teddy Altman/Billy Kaplan,Teddy Altman,43,M,Billy Kaplan,2,M,Young Avengers,Superhero,Marvel,1826,MM
2024,Tony Stark/Stephen Strange,Tony Stark,45,M,Stephen Strange,41,M,Marvel Cinematic Universe,Superhero,Marvel,6659,MM
2024,Wanda Maximoff/Natasha Romanov,Wanda Maximoff,48,F,Natasha Romanov,32,F,Marvel Cinematic Universe,Superhero,Marvel,2490,FF
2024,Wanda Maximoff/Vision,Wanda Maximoff,48,F,Vision,46,M,Marvel Cinematic Universe,Superhero,Marvel,5433,FM
2024,Yelena Belova/Kate Bishop,Yelena Belova,49,F,Kate Bishop,22,F,Marvel Cinematic Universe,Superhero,Marvel,2029,FF
2024,Clint Barton/Darcy Lewis,Clint Barton,7,M,Darcy Lewis,9,F,Marvel Cinematic Universe,Superhero,Marvel,1097,FM
2024,Jemma Simmons/Grant Ward,Jemma Simmons,20,F,Grant Ward,11,M,Marvel Cinematic Universe,Superhero,Marvel,1076,FM
